@id,accessibility,amenity,boundary_type:Ward_boundary,building:levels,building:material,building:roof,contact:address,contact:phone,education:curriculum,education:exam_center,education:extra_drama,education:extra_music,education:extra_scouts,education:extra_sports,education:fees,education:gender_type,education:government_registered,education:management_committee,education:program_counselling,education:program_feeding,education:program_sanitary_towel,education:pta,education:students,education:teachers,education:teachers_female,education:teachers_male,education:teachers_trained,education:tsc_employed,education:type,electricity:operational_status,image:classroom,image:compound,image:other,image:outside,is_in:constituency,is_in:estate,is_in:ward,name,official_name,operational_status:electricity,operator:name,operator:type,place:village,polling_station:accessibility,polling_station:election_year,polling_station:nearest_health_centre,polling_station:nearest_police_station,polling_station:registered_voters,polling_station:source,polling_station:type_description,toilet:present,lon,lat,contact:email,education:fees_level4,education:fees_level5,education:program_orphans,education:student_age_range,education:students_female,education:students_male,opening_hours,education:boarding,education:fees_level1,education:fees_level2,education:fees_level3,education:program_counseling,education:program_other,education:program_special_needs,education:program_sports,education:staff_female,education:staff_male,media:video_device_number,media:video_number,operational_status,education:fees_optional,education:school_head,image,is_in:village,operator:description,polling_station:type,education:description,education:fees_sponsored,source,education:exam_affiliate,education:teachers_untrained,education:fees_level6,media:camera_device_number,media:camera_number,education:program_scouting,education:program_description,education:extra_other,education:student_female,education:student_male,education:program_computers,description,station:type_description,education:teachers_tsc,designation,security:gbv_support,toilet:arranged_name,education:program_specialneeds,boundary_type:Constituency_boundary,polling_station:election_year_2,registered_voters,building,fee,operational_status_2,education:fee,toilets:for:female,toilets:for:male,toilets:for:teacher,toilets:handwashing,education:bom_employed,education:male,toilets,education:committees,health_facility:referals,medical_service:psychosocial_support_counselling,medical_staff:counsellor,medical_staff:description,note,contact:website,addr:postcode,education:fee_level,website,operator,education:accessibility,education:management_commitee,education:program_WASH,education:program_handwashing,education:program_rain,education:student_disable,safe_place:acessible,safe_place:compound,safe_place:protected/secure,safe_place:school,security:description,social_facility,education:nemis_code,image:sign_post,toilet:female,toilet:handwashing,toilet:male,toilet:teachers,water:source,Music,building:classrooms,education:fees_admission,education:fees_exam,education:fees_lunch,education:fees_per_year,education:fees_trip,education:government_grants,education:operate_as,toilets:female,toilets:male,toilets:teachers
node/748863830,small_cars,school,,1,ironsheets,ironsheets,,0723 467518,8_4_4,,,,,,,mixed,mgcsd,yes,,,,,,,,,,,primary,often,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Winners%20Academy/class.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Winners%20Academy/teacher.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Winners%20Academy/building.JPG,,,,Jesus Winners Pre-School,,,Jesus Winners Church,religious,Soweto East,,,,,,,,no,36.7988523,-1.3153072,,,,,,,,Mo-Fr 08:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/748870479,big_vehicles,school,,1,ironsheets,ironsheets,P.O Box 44052-00100,0711354342,8_4_4,,,,yes,yes,,mixed,mgcsd,yes,yes,fees,,yes,97,9,5,4,7,0,primary,often,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Church%20On%20The%20Rock%20Academ/Classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Church%20On%20The%20Rock%20Academ/Compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Church%20On%20The%20Rock%20Academ/SignPost.JPG,,,,Church On The Rock Academy,,,Church On The Rock,religious,Raila,,,,,,,,yes,36.7773643,-1.317492,,5600 per year,9000 per year,,,51,46,08:00-15:00,,,,,,few,yes,,,,,,,100 for exam,Esther Apiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/748870482,big_vehicles,school,,1,ironsheets,ironsheets,"P O Box 22363-00400,Nairobi",0720918745,8_4_4,,,,,,7000,mixed,APBET,,yes,feed_the_child,,yes,161,10,6,4,10,6,primary,always,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Stephene%20School/Classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Stephene%20School/Compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Stephene%20School/Sign.JPG,,,,St Stephen Educational Centre,,,St Stephen,cbo,Raila,,,,,,,,yes,36.7774269,-1.3173959,mary.okila@yahoo.com,7000 per year,10000 per year,yes,,88,73,,,,,,,,,,,,,,,,Mary. L.Okila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/748912629,small_cars,school,,,ironsheets,ironsheets,P.O Box 21681-00200,0725938742,8_4_4,,yes,yes,yes,yes,4500,mixed,mgcsd,yes,yes,yes,,,220,9,4,5,,,primary,never,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Gifted%20Hands%20Educational%20Center/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Gifted%20Hands%20Educational%20Center/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Gifted%20Hands%20Educational%20Center/gate.JPG,,,,Gifted Hands Educational Centre,,,Gifted Hand CBO,cbo,Gatwekera,,,,,,,,yes,36.7840822,-1.3137578,g.hands@gmail.com,1500 per term,1500 per term,yes,1-13yrs,120,100,07:00-17:00,,,,,,,,,,,,,,,Ezekiel Otwori,,,,,,,,St Juliet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/748912656,foot,school,,,mud,ironsheets,,0711353341,8_4_4,,,,,,3600,mixed,,yes,,,,,55,3,3,,,,pre_primary,never,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Mt.%20Sinai%20Edu.%20Centre/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Mt.%20Sinai%20Edu.%20Centre/compund.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Mt.%20Sinai%20Edu.%20Centre/outside.JPG,,,,Mount Sinai Educational Centre,,,,private,Gatwekera,,,,,,,,arranged,36.78229,-1.3135945,,,,,,20,35,,,1200,1200,1200,,,,,,,,,,,Janet,,,,,,,,,,,,,,,,,,,,,,,,Plot toilet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/748912704,small_cars,school,,,wood,ironsheets,,,8_4_4,,,,,,,mixed,,,yes,yes,,,,,,,,,primary,never,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Missionaries%20of%20Charity/Classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Missionaries%20of%20Charity/Compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Missionaries%20of%20Charity/Sign.JPG,,,,St Joseph (Missionaries Of Charity),,,Sisters Of Mother Teresa,religious,Gatwekera,,,,,,,,yes,36.7824366,-1.314799,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/748912736,foot,school,,1,ironsheets,ironsheets,P.O Box 10753-00400,0788506171,8_4_4,,yes,yes,,yes,2700,mixed,mgcsd,,yes,,,,8,1,,1,,,primary,often,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Seed%20Junior%20Academy/class.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Seed%20Junior%20Academy/receipt.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Seed%20Junior%20Academy/building.JPG,,,,Seed School Kibera,,,Seed Foundation,ngo,Gatwekera,,,,,,,,yes,36.7818796,-1.316216,aoukip@gmail.com,900 per term,,yes,,4,4,08:00-12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/748912871,big_vehicles,school,,,ironsheets,ironsheets,P.O Box 72656,0723642635,8_4_4,,yes,,,yes,2700,mixed,mgcsd,yes,yes,,,yes,171,8,8,,,,primary,never,,,,,,,,St Poly Children Centre,,,St Poly,cbo,Gatwekera,,,,,,,,yes,36.7864471,-1.3149674,gichukip75@gmail.com,900 per term,900 per term,yes,,89,82,,,,,,,,,,,,,,,,P. Mwangi,,,,,,,,Olympic Educational Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752219201,small_cars,school,,0,concrete,ironsheets,,0721423609,other,yes,,,,,4950,mixed,mgcsd,yes,,fees,yes,yes,18,2,2,,2,,vocational,often,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/YMCA%20Kibera%20Tailoring/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Wings%20of%20Life%20Children%20Center/building.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/YMCA%20Kibera%20Tailoring/sign%20post.JPG,,,,YMCA School,,always,YMCA,ngo,Laini Saba,,,,,,,,yes,36.7955438,-1.3108517,,,,,15-21yrs,17,1,Mo-Fr 08:00-16:30,,,,,yes,,,yes,,,,,operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752223310,big_vehicles,school,,0,concrete,ironsheets,,0727304681,8_4_4,yes,,,,,Free,mixed,moe,yes,yes,no,,yes,270,12,6,6,8,,primary,often,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Blessed%20Academy/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Blessed%20Academy/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Blessed%20Academy/building.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Kibera%20Blessed%20Academy/gate.JPG,,,,Kibera Blessed Academy,KIBERA BLESSED ACADEMY - PRI,always,World Mission Evangelism Kenya,religious,Soweto East,,,,,,,,yes,36.8019153,-1.3155215,amutabijulius@gmail.com,,,yes,6-14yrs,135,120,Mo-Fr 08:00-16:00,,,,,,,,,2,4,,,operational,,,,,,,,,,,4,,,,,Free education (donors from U.S.A(W.M.E)),,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752254027,foot,school,,0,ironsheets,ironsheets,,0721164508/ 0720756333,8_4_4,,,,,,500 per month,mixed,mgcsd,yes,,fees,,,44,4,4,0,2,,pre_primary,never,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/PAG%20Lindi%20School/class.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/PAG%20Lindi%20School/Douglas.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/PAG%20Lindi%20School/bulding.JPG,,,,P A G School,,sometimes,P A G Church,religious,Laini Saba,,,,,,,,yes,36.7946888,-1.3137477,,,,yes,3-6yrs,,,Mo-Fr 08:00-15:00,,,,,,,,yes,2,1,,,operational,,Dorine musungu,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752254053,,school,,ground,ironsheets,ironsheets,"P O Box 21188 -00100, Nairobi",0714004638,8_4_4,,,,,,5520,mixed,mgcsd,,,no,,yes,150,5,5,0,5,,pre_primary,often,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/St.%20Veronica%20pre%20school/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/St.%20Veronica%20pre%20school/gate.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/St.%20Veronica%20pre%20school/gate.JPG,,,,St Veronica Nursery School,,sometimes,Catholic Church Lindi,religious,Lindi,,,,,,,,yes,36.7941986,-1.3143604,paulinemagengo@gmail.com,,,yes,3-6yrs,500,100,Mo-Fr 08:00-15:00,,,,,yes,,,,2,1,,,operational,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752262462,small_cars,school,,,mud,ironsheets,,0720063516,8_4_4,,,,,,,mixed,mgcsd,yes,,no,,,190,4,3,1,,,pre_primary,never,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Darajani%20School/Classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Darajani%20School/Compound.JPG,,,,,,Watu Moja Lee Academy,,never,Mkuu CBO,cbo,Makina,,,,,,,,arranged,36.7882089,-1.3125698,,,,yes,3-7yrs,93,93,08:00-17:00,,,,,yes,,,,,,,,,,,,,,,,,,,1,,01,49,,,,,,,,,,,,Pee poo,,,,,,,operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752276386,big_vehicles,school,,,,,19581-00100,072281993,,,,,,,,mixed,,,,,,,,,,,,,vocational,,,,,,,,,Graebens Driving Shool,,always,,private,Makina,,,,,,,,,36.782237,-1.3077569,graebensdrivingschool@yahoo.com,,,,adult,2,5,07:30-18:30,,,,,,,,,,,,,operational,,,,,Grace & Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17000,1,1,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752276387,big_vehicles,school,,,,,,,,,,,,,,mixed,,,,,,,,,,,,,pre_primary,,,,,,,,,Three Bells Center,,,,private,Olympic,,,,,,,,,36.7787496,-1.3112565,,,,,3-5yrs,,,08:00-15:00,,,,,,,,,,,,,operational,,,,,No information was given,,,,Map Kibera Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752317805,small_cars,school,,,ironsheets,ironsheets,P.O Box 9812-00200,0722948228,8_4_4,,yes,yes,yes,yes,,mixed,mgcsd,yes,yes,,,yes,87,3,3,0,,0,pre_primary,,,,,,,,,Optimist Educational Centre,,always,Optiist CBO,cbo,Makina,,,,,,,,,36.7848421,-1.3084519,optimisteducational@gmail.com,,,,3-6yrs,59,,07:00-17:00,,13500,,,yes,,,,,,,,,,,,,,,,,,,,,,"52,53,54",,,,,,,,,,,,,,,,,,,,,2,2,1,yes,10,28,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752317837,small_cars,school,,,cement_block,ironsheets,P.O Box 44965,0724374656,8_4_4,,,,,,9000,mixed,mgcsd,yes,,yes,,,40,3,3,,,,pre_primary,always,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Baraka%20Nursery%20School/Classroom.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Baraka%20Nursery%20School/Sign.JPG,,,,,Baraka Junior School,,often,FPFK Church,religious,Makina,,,,,,,,,36.7823716,-1.3070897,andrewogambo@yahoo.com,,,yes,3-7yrs,15,25,07:30-15:00,,3000 per month,3000 per month,3000 per month,no,,,yes,3,0,,,operational,,Andrew Ogembo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752352033,big_vehicles,school,,3,cement_block,ironsheets,"P O Box 76228-00508, Nairobi",0723925253,8_4_4,,yes,yes,yes,yes,9324,mixed,moe,yes,,fees,,yes,401,28,16,12,28,25,secondary,always,,,,,,,,Raila Educational Centre,RAILA EDUCATIONAL CENTER- SEC SCH,,,government,Karanja,,,,,,,,yes,36.7835454,-1.3125141,railaeducationcentre@yahoo.com,,,,,178,223,06:30-18:00,,,,,,,,,,,,,operational,,Ojera Paul,,,,,,,Map Kibera Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752388466,small_cars,school,,,ironsheets,ironsheets,P.O Box 66404,0723626177,8_4_4,,yes,yes,yes,yes,,mixed,mgcsd,yes,yes,,,,74,5,3,2,2,0,primary,always,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Batholomew/Classroom.JPG,,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Batholomew/Sign.JPG,,,,St Batholomew,,never,,private,Makina,,,,,,,,,36.7848106,-1.3082544,,,,yes,2-10yrs,42,32,07:00-15:30,,,,,yes,,,,1,1,,,operational,,Rael Mbeke,,,,,,,,Joseph kangethe Primary School,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,yes,9,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752394857,big_vehicles,school,,0,cement_block,ironsheets,"P O Box 5537-00100, Nairobi",0724852688,8_4_4,,yes,,yes,yes,,mixed,mgcsd,yes,,fees,,yes,100,6,4,2,6,1,primary,always,,,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Tenderlings%20School/IMG_0213.JPG,,,,Tenderlings School,TENDERLINGS PRI SCH,always,Phellestus Jesca Mandela,private,Ayany,,,,,,,,yes,36.776478,-1.308649,tenderlingschool@yahoo.com,,15000,yes,7-14yrs,40,60,07:30-16:00,,,,,,,,yes,3,2,,,operational,,Phellestus Jesica Mandela,,,Run by individual,,,,,,4,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752394881,big_vehicles,school,yes,3,cement_block,ironsheets,"P 0 Box 55768-00200, Nairobi",0722731264,8_4_4,yes,,,,,0,mixed,moe,yes,,sponsored,,yes,1357,34,29,5,34,28,primary,always,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Ayany%20Primary%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Ayany%20Primary%20School/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Ayany%20Primary%20School/gate.JPG,kibra,ayany,sarangombe,Ayany Primary School,AYANI ESTATE PRI SCH,,Government,government,Ayany,big_cars,2013,Ushirika health center,"Ayany police post,Jamuhuri police post","3,962",map_kibera_trust,public_school,yes,36.7764529,-1.3080088,ayanyprimaryschool@gmail.com,,,yes,7-16yrs,725,632,"class 1-3: 07:30-16:00, class 4-8: 07:00-16:00",,,,,yes,,,yes,,,,,operational,,Mrs.Kavyu,,,Run by government,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/752394892,big_vehicles,school,yes,1,"concrete,ironsheets",ironsheets,"P 0 Box 211372-00505, Nairobi",0722480530,8_4_4,yes,yes,yes,yes,yes,6000,mixed,moe,yes,yes,sponsored,,yes,2051,27,20,7,27,27,primary,sometimes,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Old%20Kibera%20Primary%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Old%20Kibera%20Primary%20School/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Old%20Kibera%20Primary%20School/sign%20post.JPG,Kibra,Karanja,Makina,Kibera Primary School,KIBERA PRI. SCH.,always,Government,government,Karanja,big_cars,2013,"st mary's, vipawa",Administation police D.C camp,,map_kibera_trust,,yes,36.783868,-1.309877,oldkiberaprimary@gmail.com,,,,7-17yrs,1124,927,08:00-17:00,,,,,yes,,yes,yes,3,4,,,operational,,Mrs.Opiyo,,,Run by government,public_school,,,,,3,,,,yes,,,,,,,,,,,,,,,5582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/761956459,foot,school,,1,cement_block,ironsheets,"P O Box 27418-00100, Nairobi",0721261173,8_4_4,yes,yes,,yes,yes,9800,mixed,APBET,yes,yes,fees,yes,no,352,13,7,6,10,2,primary,sometimes,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Joysprings%20Educational%20Center/Class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Joysprings%20Educational%20Center/Compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Joysprings%20Educational%20Center/Sign%20Post.JPG,,,,Joysprings Educational Centre,,,Joysprings Educational Ministries,religious,Kianda,,,,,,,,yes,36.774904,-1.3121305,joyspring@yahoo.com,,,,,179,173,,,,,,,christian union and bible study,,,,,,,,porridge/tea 900,Albert Barasa,,,,,,,,,,,,,,,speech contests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/761992157,,school,,,,,,,,,,,,,,mixed,,,,,,,,,,,,,pre_primary,,,,,,,,,St Collins Nursery School,,,,private,Kianda,,,,,,,,,36.7729016,-1.3090137,,,,,,,,08:00-15:00,,,,,,,,,,,,,operational,,,,,No information was given,,,,Map Kibera Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/775527189,big_vehicles,school,,1,wood,ironsheets,P.O Box 106-00501,0710188512,8_4_4,,yes,yes,yes,yes,Sponsorship,mixed,moe,yes,,yes,,yes,167,9,4,5,,,secondary,sometimes,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Girl%20Soccer%20Academy/Classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Girl%20Soccer%20Academy/Compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Girl%20Soccer%20Academy/Sign.JPG,,,,,Academia School Of Kibra,,often,,,Makina,,,,,,,,yes,36.7868616,-1.3112369,fridahngaya@yahoo.com,,,yes,,150,17,07:00-18:00,,,,,yes,,,yes,2,1,,,operational,,,,,,,,,,,4,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
